rho,sigma,xi,F,log_posterior
0.755828,0.195136,1.022819,0.041300,-0.491553
0.755828,0.195136,1.022819,0.041300,-0.491553
0.755828,0.195136,1.022819,0.041300,-0.491553
0.755828,0.195136,1.022819,0.041300,-0.491553
0.755828,0.195136,1.022819,0.041300,-0.491553
0.641380,0.206161,1.010902,0.030686,-0.276223
0.641380,0.206161,1.010902,0.030686,-0.276223
0.641380,0.206161,1.010902,0.030686,-0.276223
0.641380,0.206161,1.010902,0.030686,-0.276223
0.641380,0.206161,1.010902,0.030686,-0.276223
0.641380,0.206161,1.010902,0.030686,-0.276223
0.780075,0.074315,1.179279,0.032505,-2.108278
0.780075,0.074315,1.179279,0.032505,-2.108278
0.780075,0.074315,1.179279,0.032505,-2.108278
0.605885,0.054367,0.668144,0.026420,-2.339249
0.605885,0.054367,0.668144,0.026420,-2.339249
0.605885,0.054367,0.668144,0.026420,-2.339249
0.605885,0.054367,0.668144,0.026420,-2.339249
0.605885,0.054367,0.668144,0.026420,-2.339249
0.605885,0.054367,0.668144,0.026420,-2.339249
0.605885,0.054367,0.668144,0.026420,-2.339249
0.605885,0.054367,0.668144,0.026420,-2.339249
0.605885,0.054367,0.668144,0.026420,-2.339249
0.605885,0.054367,0.668144,0.026420,-2.339249
0.605885,0.054367,0.668144,0.026420,-2.339249
0.605885,0.054367,0.668144,0.026420,-2.339249
0.666678,0.142390,0.264116,0.024951,-2.446746
0.580957,0.158664,0.389732,0.034842,-1.548251
0.605502,0.208518,0.321953,0.037958,-1.745729
0.605502,0.208518,0.321953,0.037958,-1.745729
0.605502,0.208518,0.321953,0.037958,-1.745729
0.605502,0.208518,0.321953,0.037958,-1.745729
0.779233,0.232142,1.179040,0.036631,-1.163441
0.779233,0.232142,1.179040,0.036631,-1.163441
0.685092,0.178645,0.601208,0.027308,-0.714195
0.604445,0.214681,1.603552,0.026079,-0.701973
0.604445,0.214681,1.603552,0.026079,-0.701973
0.604445,0.214681,1.603552,0.026079,-0.701973
0.604445,0.214681,1.603552,0.026079,-0.701973
0.604445,0.214681,1.603552,0.026079,-0.701973
0.604445,0.214681,1.603552,0.026079,-0.701973
0.604445,0.214681,1.603552,0.026079,-0.701973
0.593588,0.183431,1.687955,0.029650,-1.116639
0.593588,0.183431,1.687955,0.029650,-1.116639
0.593588,0.183431,1.687955,0.029650,-1.116639
0.593588,0.183431,1.687955,0.029650,-1.116639
0.593588,0.183431,1.687955,0.029650,-1.116639
0.593588,0.183431,1.687955,0.029650,-1.116639
0.593588,0.183431,1.687955,0.029650,-1.116639
0.593588,0.183431,1.687955,0.029650,-1.116639
0.593588,0.183431,1.687955,0.029650,-1.116639
0.586802,0.232425,1.161983,0.015600,-1.468969
0.586802,0.232425,1.161983,0.015600,-1.468969
0.586802,0.232425,1.161983,0.015600,-1.468969
0.586802,0.232425,1.161983,0.015600,-1.468969
0.534661,0.060011,0.474768,0.014059,-3.489453
0.678147,0.144295,0.087467,0.011590,-2.563685
0.678147,0.144295,0.087467,0.011590,-2.563685
0.678147,0.144295,0.087467,0.011590,-2.563685
0.678147,0.144295,0.087467,0.011590,-2.563685
0.678147,0.144295,0.087467,0.011590,-2.563685
0.678147,0.144295,0.087467,0.011590,-2.563685
0.496963,0.189028,0.306307,0.021733,-2.360698
0.496963,0.189028,0.306307,0.021733,-2.360698
0.496963,0.189028,0.306307,0.021733,-2.360698
0.734524,0.120846,0.888364,0.018845,-1.127333
0.734524,0.120846,0.888364,0.018845,-1.127333
0.734524,0.120846,0.888364,0.018845,-1.127333
0.734524,0.120846,0.888364,0.018845,-1.127333
0.734524,0.120846,0.888364,0.018845,-1.127333
0.734524,0.120846,0.888364,0.018845,-1.127333
0.734524,0.120846,0.888364,0.018845,-1.127333
0.734524,0.120846,0.888364,0.018845,-1.127333
0.734524,0.120846,0.888364,0.018845,-1.127333
0.734524,0.120846,0.888364,0.018845,-1.127333
0.734524,0.120846,0.888364,0.018845,-1.127333
0.734524,0.120846,0.888364,0.018845,-1.127333
0.741456,0.136011,1.626001,0.021267,-1.168493
0.741456,0.136011,1.626001,0.021267,-1.168493
0.741456,0.136011,1.626001,0.021267,-1.168493
0.741456,0.136011,1.626001,0.021267,-1.168493
0.758494,0.173219,1.150071,0.028471,-0.686729
0.758494,0.173219,1.150071,0.028471,-0.686729
0.572566,0.216493,1.560273,0.025899,-0.699173
0.572566,0.216493,1.560273,0.025899,-0.699173
0.713346,0.213042,1.492795,0.030897,-1.058146
0.713346,0.213042,1.492795,0.030897,-1.058146
0.651910,0.200740,1.233217,0.031723,-0.420587
0.499049,0.234971,1.104298,0.023348,-1.616913
0.581586,0.210431,1.272646,0.027575,-0.377981
0.581586,0.210431,1.272646,0.027575,-0.377981
0.671772,0.259959,0.938265,0.029323,-1.233861
0.705766,0.281366,0.947766,0.039019,-2.021977
0.705766,0.281366,0.947766,0.039019,-2.021977
0.705766,0.281366,0.947766,0.039019,-2.021977
0.705766,0.281366,0.947766,0.039019,-2.021977
0.705766,0.281366,0.947766,0.039019,-2.021977
0.705766,0.281366,0.947766,0.039019,-2.021977
0.744896,0.229362,1.332015,0.037242,-1.263844
0.744896,0.229362,1.332015,0.037242,-1.263844
0.744896,0.229362,1.332015,0.037242,-1.263844
0.744896,0.229362,1.332015,0.037242,-1.263844
0.794328,0.255736,0.736997,0.039471,-1.855472
0.794328,0.255736,0.736997,0.039471,-1.855472
0.720251,0.255487,0.254115,0.037579,-2.584336
0.720251,0.255487,0.254115,0.037579,-2.584336
0.674603,0.176387,0.250046,0.012055,-2.679336
0.674603,0.176387,0.250046,0.012055,-2.679336
0.547761,0.196611,0.181254,0.021450,-2.617303
0.547761,0.196611,0.181254,0.021450,-2.617303
0.547761,0.196611,0.181254,0.021450,-2.617303
0.547761,0.196611,0.181254,0.021450,-2.617303
0.547761,0.196611,0.181254,0.021450,-2.617303
0.547761,0.196611,0.181254,0.021450,-2.617303
0.547761,0.196611,0.181254,0.021450,-2.617303
0.785393,0.120382,0.616210,0.017518,-2.014368
0.540112,0.129320,1.110413,0.025113,-0.766292
0.540112,0.129320,1.110413,0.025113,-0.766292
0.540112,0.129320,1.110413,0.025113,-0.766292
0.540112,0.129320,1.110413,0.025113,-0.766292
0.540112,0.129320,1.110413,0.025113,-0.766292
0.540112,0.129320,1.110413,0.025113,-0.766292
0.540112,0.129320,1.110413,0.025113,-0.766292
0.540112,0.129320,1.110413,0.025113,-0.766292
0.540112,0.129320,1.110413,0.025113,-0.766292
0.540112,0.129320,1.110413,0.025113,-0.766292
0.477185,0.187699,0.802801,0.025096,-3.070175
0.477185,0.187699,0.802801,0.025096,-3.070175
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.537761,0.237660,0.516378,0.014806,-1.761313
0.619293,0.221445,1.270566,0.017051,-1.180526
0.540780,0.261103,1.025218,0.028065,-1.431482
0.540780,0.261103,1.025218,0.028065,-1.431482
0.690482,0.169179,0.981522,0.017805,-0.845166
0.690482,0.169179,0.981522,0.017805,-0.845166
0.638138,0.091056,0.424050,0.010072,-3.209474
0.638138,0.091056,0.424050,0.010072,-3.209474
0.638138,0.091056,0.424050,0.010072,-3.209474
0.638138,0.091056,0.424050,0.010072,-3.209474
0.638138,0.091056,0.424050,0.010072,-3.209474
0.638138,0.091056,0.424050,0.010072,-3.209474
0.638138,0.091056,0.424050,0.010072,-3.209474
0.638138,0.091056,0.424050,0.010072,-3.209474
0.638138,0.091056,0.424050,0.010072,-3.209474
0.638138,0.091056,0.424050,0.010072,-3.209474
0.638138,0.091056,0.424050,0.010072,-3.209474
0.794193,0.141439,0.389730,0.010741,-1.654128
0.794193,0.141439,0.389730,0.010741,-1.654128
0.794193,0.141439,0.389730,0.010741,-1.654128
0.794193,0.141439,0.389730,0.010741,-1.654128
0.794193,0.141439,0.389730,0.010741,-1.654128
0.794193,0.141439,0.389730,0.010741,-1.654128
0.794193,0.141439,0.389730,0.010741,-1.654128
0.794193,0.141439,0.389730,0.010741,-1.654128
0.790639,0.245030,1.195028,0.014194,-1.686634
0.790639,0.245030,1.195028,0.014194,-1.686634
0.790639,0.245030,1.195028,0.014194,-1.686634
0.790639,0.245030,1.195028,0.014194,-1.686634
0.790639,0.245030,1.195028,0.014194,-1.686634
0.790639,0.245030,1.195028,0.014194,-1.686634
0.790639,0.245030,1.195028,0.014194,-1.686634
0.790639,0.245030,1.195028,0.014194,-1.686634
0.790639,0.245030,1.195028,0.014194,-1.686634
0.790639,0.245030,1.195028,0.014194,-1.686634
0.790639,0.245030,1.195028,0.014194,-1.686634
0.790639,0.245030,1.195028,0.014194,-1.686634
0.790639,0.245030,1.195028,0.014194,-1.686634
0.790639,0.245030,1.195028,0.014194,-1.686634
0.790639,0.245030,1.195028,0.014194,-1.686634
0.752781,0.200845,0.433114,0.016531,-1.221821
0.743404,0.235351,1.163250,0.023388,-1.131091
0.743404,0.235351,1.163250,0.023388,-1.131091
0.743404,0.235351,1.163250,0.023388,-1.131091
0.743404,0.235351,1.163250,0.023388,-1.131091
0.743404,0.235351,1.163250,0.023388,-1.131091
0.743404,0.235351,1.163250,0.023388,-1.131091
0.691525,0.204842,1.258394,0.020961,-0.857414
0.691525,0.204842,1.258394,0.020961,-0.857414
0.691525,0.204842,1.258394,0.020961,-0.857414
0.691525,0.204842,1.258394,0.020961,-0.857414
0.691525,0.204842,1.258394,0.020961,-0.857414
0.479192,0.248643,1.236490,0.031474,-1.206562
0.479192,0.248643,1.236490,0.031474,-1.206562
0.479192,0.248643,1.236490,0.031474,-1.206562
0.479192,0.248643,1.236490,0.031474,-1.206562
0.479192,0.248643,1.236490,0.031474,-1.206562
0.479192,0.248643,1.236490,0.031474,-1.206562
0.479192,0.248643,1.236490,0.031474,-1.206562
0.479192,0.248643,1.236490,0.031474,-1.206562
0.479192,0.248643,1.236490,0.031474,-1.206562
0.672199,0.231800,1.328673,0.031829,-1.180837
0.672199,0.231800,1.328673,0.031829,-1.180837
0.669862,0.285907,0.911044,0.043152,-2.062867
0.669862,0.285907,0.911044,0.043152,-2.062867
0.669862,0.285907,0.911044,0.043152,-2.062867
0.669862,0.285907,0.911044,0.043152,-2.062867
0.669862,0.285907,0.911044,0.043152,-2.062867
0.669862,0.285907,0.911044,0.043152,-2.062867
0.775293,0.124480,0.481971,0.049798,-1.037158
0.775293,0.124480,0.481971,0.049798,-1.037158
0.775293,0.124480,0.481971,0.049798,-1.037158
0.775293,0.124480,0.481971,0.049798,-1.037158
0.775293,0.124480,0.481971,0.049798,-1.037158
0.775293,0.124480,0.481971,0.049798,-1.037158
0.775293,0.124480,0.481971,0.049798,-1.037158
0.775293,0.124480,0.481971,0.049798,-1.037158
0.775293,0.124480,0.481971,0.049798,-1.037158
0.775293,0.124480,0.481971,0.049798,-1.037158
0.775293,0.124480,0.481971,0.049798,-1.037158
0.775293,0.124480,0.481971,0.049798,-1.037158
0.775293,0.124480,0.481971,0.049798,-1.037158
0.775293,0.124480,0.481971,0.049798,-1.037158
0.775293,0.124480,0.481971,0.049798,-1.037158
0.775293,0.124480,0.481971,0.049798,-1.037158
0.775293,0.124480,0.481971,0.049798,-1.037158
0.775293,0.124480,0.481971,0.049798,-1.037158
0.779262,0.143716,0.492773,0.041307,-1.140144
0.779262,0.143716,0.492773,0.041307,-1.140144
0.779262,0.143716,0.492773,0.041307,-1.140144
0.779262,0.143716,0.492773,0.041307,-1.140144
0.779262,0.143716,0.492773,0.041307,-1.140144
0.779262,0.143716,0.492773,0.041307,-1.140144
0.779262,0.143716,0.492773,0.041307,-1.140144
0.779262,0.143716,0.492773,0.041307,-1.140144
0.697486,0.149874,1.223284,0.035867,-0.392021
0.697486,0.149874,1.223284,0.035867,-0.392021
0.697486,0.149874,1.223284,0.035867,-0.392021
0.697486,0.149874,1.223284,0.035867,-0.392021
0.697486,0.149874,1.223284,0.035867,-0.392021
0.681768,0.115647,0.820984,0.035941,-0.668925
0.681768,0.115647,0.820984,0.035941,-0.668925
0.629538,0.106540,1.180945,0.025057,-0.577179
0.554509,0.174492,0.991402,0.025083,-0.433640
0.554509,0.174492,0.991402,0.025083,-0.433640
0.554509,0.174492,0.991402,0.025083,-0.433640
0.554509,0.174492,0.991402,0.025083,-0.433640
0.554509,0.174492,0.991402,0.025083,-0.433640
0.554509,0.174492,0.991402,0.025083,-0.433640
0.554509,0.174492,0.991402,0.025083,-0.433640
0.554509,0.174492,0.991402,0.025083,-0.433640
0.554509,0.174492,0.991402,0.025083,-0.433640
0.554509,0.174492,0.991402,0.025083,-0.433640
0.554509,0.174492,0.991402,0.025083,-0.433640
0.554509,0.174492,0.991402,0.025083,-0.433640
0.554509,0.174492,0.991402,0.025083,-0.433640
